Iteration, Rt, Rn, delta p, delta n, nNT, nNe, nPT, nT, nI, nonmut, mut , GF , NF 
0,1.2071067811865477,0.6062471926484483,0.12470670705507728,0.4761528814830222,0,0,9,9,0,9,0,1,0
1,1.3214358029991302,0.6832116300581634,0.13246162079906856,0.5057625521418981,0,0,10,10,0,10,0,1,0
2,1.444811111544743,0.7674557310410883,0.14058319218000384,0.5367721883236509,0,0,12,12,0,12,0,1,0
3,1.6890321022490886,0.9373495455712546,0.15600958723502217,0.5956729694428119,0,0,15,15,0,15,0,1,0
4,1.8393470802648582,1.0437039308877523,0.16513348383298426,0.6305096655441217,0,0,18,18,0,18,0,1,0
5,2.004884140966075,1.1621924276515259,0.17489828012188757,0.6677934331926616,3,0,17,20,0,17,0,0.85,0
6,2.150973321838801,1.2678272283279808,0.18329447223809467,0.699851621272725,2,2,17,21,0,17,0,0.8095238095238095,0.09523809523809523
7,2.2176399885054674,1.3163388927275221,0.18706249157655475,0.7142386042013908,3,2,17,22,0,17,0,0.7727272727272727,0.09090909090909091
8,2.4597353211691377,1.4939777505384795,0.2004402505082499,0.7653173201224086,4,3,20,27,0,20,0,0.7407407407407407,0.1111111111111111
9,2.770988429002724,1.725388180513407,0.2170113723279716,0.8285888761613459,3,7,20,30,0,20,0,0.6666666666666666,0.23333333333333334
10,3.0430186559753194,1.930060218636567,0.23099137378728823,0.8819670635514641,6,7,22,35,0,22,0,0.6285714285714286,0.2
11,3.1196220730763655,1.988063100573949,0.23485186221748283,0.8967071102849344,6,8,24,38,0,24,0,0.631578947368421,0.21052631578947367
12,3.4554472140733945,2.2440719211191595,0.25141751363201087,0.9599577793222234,7,8,30,45,0,30,0,0.6666666666666666,0.17777777777777778
13,3.6137142395181447,2.3656266226382243,0.25903705255998327,0.9890505643199363,1,15,32,48,0,32,0,0.6666666666666666,0.3125
14,3.764792186491175,2.4821568261544042,0.26620733893782056,1.0164280213989512,0,16,38,54,0,38,0,0.7037037037037037,0.2962962962962963
15,3.944748319883397,2.6215587480374314,0.27462425076048336,1.048565321085482,3,16,40,59,0,40,0,0.6779661016949152,0.2711864406779661
16,4.129997098695385,2.765699753671865,0.2831560527407308,1.08114129228279,4,18,43,65,0,43,0,0.6615384615384615,0.27692307692307694
17,4.394300518299039,2.9724005678608587,0.2951113104683015,1.1267886399698785,7,20,45,72,0,45,0,0.625,0.2777777777777778
18,4.641705490805548,3.1669242976730336,0.30608666272561663,1.1686945304068999,8,22,51,81,0,51,0,0.6296296296296297,0.2716049382716049
19,4.908078355289364,3.3774014562308916,0.3176876582951547,1.2129892407633183,10,26,51,87,0,51,0,0.5862068965517241,0.2988505747126437
20,5.184033952201359,3.596507046897351,0.3294867161951713,1.2580401891088357,10,30,57,97,0,57,0,0.5876288659793815,0.30927835051546393
21,5.516819231904935,3.8620591385351686,0.34344077409561197,1.3113193192741543,12,31,64,107,0,64,0,0.5981308411214953,0.2897196261682243
22,5.88356365687592,4.156256758955463,0.3584976580589627,1.3688092398614937,19,35,60,114,0,60,0,0.5263157894736842,0.30701754385964913
